reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
GLPT,NA,NA,NA,NA,0
LANOSTAT_SC,NA,NA,NA,NA,1
MEVK1,NA,NA,NA,NA,0
OHACT1,NA,NA,NA,NA,1
OHACT2,NA,NA,NA,NA,1
OHACT3,NA,NA,NA,NA,0
OHACT4,NA,NA,NA,NA,1
OHACT5,NA,NA,NA,NA,0
PEPAT,NA,NA,NA,NA,0
DPMVD,NA,NA,NA,NA,6
APRTO2,NA,NA,NA,NA,2
ARAB14LO,NA,NA,NA,NA,0
POLYAO,NA,NA,NA,NA,3
POLYAO2,NA,NA,NA,NA,0
POLYAO3,NA,NA,NA,NA,0
PYDXNO,NA,NA,NA,NA,1
PYDXO,NA,NA,NA,NA,0
DHORD4i,NA,NA,NA,NA,0
ATPATF2,NA,NA,NA,NA,0
NABTNO,NA,NA,NA,NA,1
FA182ACPH,NA,NA,NA,NA,0
ACHLE1,NA,NA,NA,NA,0
ACHLE2,NA,NA,NA,NA,0
ACHLE3,NA,NA,NA,NA,0
DESAT14,NA,NA,NA,NA,0
EPISTESTH_SC,NA,NA,NA,NA,0
FECOSTESTH_SC,NA,NA,NA,NA,0
LANOSTESTH_SC,NA,NA,NA,NA,0
HSDxi,NA,NA,NA,NA,0
FALDH,NA,NA,NA,NA,0
ALCD2x_copy1,NA,NA,NA,NA,0
3IPM3MT,NA,NA,NA,NA,0
ACON3MT,NA,NA,NA,NA,0
DIPS,NA,NA,NA,NA,0
NNMT,NA,NA,NA,NA,0
CCP2m,NA,NA,NA,NA,0
CYOOm,NA,NA,NA,NA,0
MACACI,NA,NA,NA,NA,1
AMPDA,NA,NA,NA,NA,0
PDE3,NA,NA,NA,NA,0
FMNATm,NA,NA,NA,NA,0
FRDm,NA,NA,NA,NA,0
SUCD1m,NA,NA,NA,NA,0
SUCD3_u6m,NA,NA,NA,NA,0
C4STMO2,NA,NA,NA,NA,2
C8STI,NA,NA,NA,NA,0
ALPHNH,NA,NA,NA,NA,0
2HBt2,NA,NA,NA,NA,0
MIP2C124PLC_SC,NA,NA,NA,NA,0
MIPC124PLC_SC,NA,NA,NA,NA,0
MIP2C126PLC_SC,NA,NA,NA,NA,0
MIPC126PLC_SC,NA,NA,NA,NA,0
CERH124_copy1,NA,NA,NA,NA,0
CERH124_copy2,NA,NA,NA,NA,0
MIP2C224PLC_SC,NA,NA,NA,NA,0
MIPC224PLC_SC,NA,NA,NA,NA,0
CERH126_copy1,NA,NA,NA,NA,0
CERH126_copy2,NA,NA,NA,NA,0
MIP2C226PLC_SC,NA,NA,NA,NA,0
MIPC226PLC_SC,NA,NA,NA,NA,0
CERS324,NA,NA,NA,NA,0
MIP2C324PLC_SC,NA,NA,NA,NA,0
MIPC324PLC_SC,NA,NA,NA,NA,0
CERS326,NA,NA,NA,NA,0
MIP2C326PLC_SC,NA,NA,NA,NA,0
MIPC326PLC_SC,NA,NA,NA,NA,0
PI4P5K_SC,NA,NA,NA,NA,2
FTHFI,NA,NA,NA,NA,0
LNS14DM,NA,NA,NA,NA,0
LNS14DMx,NA,NA,NA,NA,0
3DSPHR,NA,NA,NA,NA,9
NFTYROX,NA,NA,NA,NA,0
DOLPMMer,NA,NA,NA,NA,0
QUILSYN,NA,NA,NA,NA,0
ALCD22xi,NA,NA,NA,NA,0
ALCD22yi,NA,NA,NA,NA,0
FDNG,NA,NA,NA,NA,0
ALCD24xi,NA,NA,NA,NA,0
ALCD24yi,NA,NA,NA,NA,0
ALCD25xi,NA,NA,NA,NA,0
ALCD25yi,NA,NA,NA,NA,0
PI3P4K_SC,NA,NA,NA,NA,0
PI3P5K_SC,NA,NA,NA,NA,1
AHMMPS,NA,NA,NA,NA,0
DPGM,NA,NA,NA,NA,0
ALCD26xi,NA,NA,NA,NA,0
ALDD20y,NA,NA,NA,NA,0
34HPPOR,NA,NA,NA,NA,3
ALCD23xi,NA,NA,NA,NA,0
ALCD23yi,NA,NA,NA,NA,0
XYLTD_D,NA,NA,NA,NA,1
SLCBK2,NA,NA,NA,NA,1
SLCBK1,NA,NA,NA,NA,1
PSPHS,NA,NA,NA,NA,4
LNSTLS,NA,NA,NA,NA,0
RNMK,NA,NA,NA,NA,1
ARAB1D2,NA,NA,NA,NA,0
ALDD22x,NA,NA,NA,NA,0
DXHPScm,NA,NA,NA,NA,0
2HMHMBQMTm,NA,NA,NA,NA,0
CYOR_u6m,NA,NA,NA,NA,0
SUCD2_u6m,NA,NA,NA,NA,0
DROPPRy,NA,NA,NA,NA,2
THMP,NA,NA,NA,NA,3
C5STDS,NA,NA,NA,NA,2
SHCHD,NA,NA,NA,NA,1
4HBZCOAFm,NA,NA,NA,NA,0
4HBZFm,NA,NA,NA,NA,0
4HGLSDm,NA,NA,NA,NA,0
ABUTDm,NA,NA,NA,NA,0
ACOAHim,NA,NA,NA,NA,0
ACPSm,NA,NA,NA,NA,0
ALDD20xm,NA,NA,NA,NA,0
ALDD20ym,NA,NA,NA,NA,0
ALDD2xm,NA,NA,NA,NA,0
ALDD2ym,NA,NA,NA,NA,0
CSm,NA,NA,NA,NA,1
DDPAm,NA,NA,NA,NA,0
D_LACDm,NA,NA,NA,NA,0
FUMm,NA,NA,NA,NA,0
G5SADrm,NA,NA,NA,NA,0
GHMT2rm,NA,NA,NA,NA,0
GLYOXm,NA,NA,NA,NA,0
GTHPm,NA,NA,NA,NA,0
HACNHm,NA,NA,NA,NA,0
HCITSm,NA,NA,NA,NA,0
HCO3Em,NA,NA,NA,NA,0
HEMEOSm,NA,NA,NA,NA,0
HMGCOASm,NA,NA,NA,NA,0
IPPSm,NA,NA,NA,NA,0
MCITDm,NA,NA,NA,NA,0
MCITSm,NA,NA,NA,NA,2
MTHFCm,NA,NA,NA,NA,0
NADNm,NA,NA,NA,NA,0
NADPPPSm,NA,NA,NA,NA,0
NNAMrm,NA,NA,NA,NA,0
P5CDm,NA,NA,NA,NA,0
PGPPAm_SC,NA,NA,NA,NA,0
PHCDm,NA,NA,NA,NA,0
PHCHGSm,NA,NA,NA,NA,0
PPAm,NA,NA,NA,NA,0
PYR5CDm,NA,NA,NA,NA,0
THFATm,NA,NA,NA,NA,0
THIORDXm,NA,NA,NA,NA,0
2HPMBQMTm,NA,NA,NA,NA,2
3DH5HPBMTm,NA,NA,NA,NA,5
ACCOACrm,NA,NA,NA,NA,0
ACGSm,NA,NA,NA,NA,0
AKGDam,NA,NA,NA,NA,0
ATPS3m,NA,NA,NA,NA,0
CDPDGPm_SC,NA,NA,NA,NA,0
CLPNSm_SC,NA,NA,NA,NA,0
DASYNm_SC,NA,NA,NA,NA,0
DHNPAm,NA,NA,NA,NA,1
DPCOAKm,NA,NA,NA,NA,0
FCLTm,NA,NA,NA,NA,0
FMETTRSm,NA,NA,NA,NA,0
GCC2am,NA,NA,NA,NA,0
GCC2cm_copy1,NA,NA,NA,NA,0
GCCam,NA,NA,NA,NA,0
GCCcm,NA,NA,NA,NA,0
HICITDm,NA,NA,NA,NA,0
HPPKm,NA,NA,NA,NA,1
HPROxm,NA,NA,NA,NA,0
HPROym,NA,NA,NA,NA,0
MDHm,NA,NA,NA,NA,0
NADKm,NA,NA,NA,NA,0
OXAGm,NA,NA,NA,NA,0
GCC2cm_copy2,NA,NA,NA,NA,0
PRO1xm,NA,NA,NA,NA,0
PSERSm_SC,NA,NA,NA,NA,0
RBFKm,NA,NA,NA,NA,0
HGNTOR,NA,NA,NA,NA,2
ADK1m,NA,NA,NA,NA,0
G3PDm,NA,NA,NA,NA,0
ITCOALm,NA,NA,NA,NA,0
SUCOASm,NA,NA,NA,NA,0
MCITL2m,NA,NA,NA,NA,0
NADH2_u6cm,NA,NA,NA,NA,0
NADH2_u6m,NA,NA,NA,NA,0
C3STKR1,NA,NA,NA,NA,3
PI45BP5P_SC,NA,NA,NA,NA,0
C14STR,NA,NA,NA,NA,6
C24STRer,NA,NA,NA,NA,0
CERASE124er,NA,NA,NA,NA,0
CERASE126er,NA,NA,NA,NA,0
CERASE224er,NA,NA,NA,NA,0
CERASE226er,NA,NA,NA,NA,0
SQLEr,NA,NA,NA,NA,0
SQLErx,NA,NA,NA,NA,0
BTSr,NA,NA,NA,NA,1
PI35BP5P_SC,NA,NA,NA,NA,0
DRTPPD,NA,NA,NA,NA,1
XYLR,NA,NA,NA,NA,2
SQLS,NA,NA,NA,NA,0
2HPMMBQMOm,NA,NA,NA,NA,1
34HPLFM,NA,NA,NA,NA,1
ACHBSm,NA,NA,NA,NA,0
ACLSm,NA,NA,NA,NA,0
AGPRim,NA,NA,NA,NA,0
ALASm,NA,NA,NA,NA,0
ALCD22xim,NA,NA,NA,NA,0
ALCD23xim,NA,NA,NA,NA,0
ALCD24xim,NA,NA,NA,NA,0
ALCD25xim,NA,NA,NA,NA,0
ALCD26xim,NA,NA,NA,NA,0
ALCD2irm,NA,NA,NA,NA,0
DHFRim,NA,NA,NA,NA,0
DPRm,NA,NA,NA,NA,0
FAS100ACPm,NA,NA,NA,NA,0
FAS120ACPm,NA,NA,NA,NA,0
FAS140ACPm,NA,NA,NA,NA,0
FAS141ACPm,NA,NA,NA,NA,0
FAS160ACPm,NA,NA,NA,NA,0
FAS161ACPm,NA,NA,NA,NA,0
FAS180ACPm,NA,NA,NA,NA,0
FAS181ACPm,NA,NA,NA,NA,0
FAS182ACPm,NA,NA,NA,NA,0
FAS80ACPm_L,NA,NA,NA,NA,0
G3PD1irm,NA,NA,NA,NA,0
GTHOm,NA,NA,NA,NA,0
KARA1im,NA,NA,NA,NA,1
KARA2im,NA,NA,NA,NA,1
NAPRTm,NA,NA,NA,NA,0
NMNATm,NA,NA,NA,NA,0
NNATm,NA,NA,NA,NA,0
NNDPRm,NA,NA,NA,NA,0
OMCDCm,NA,NA,NA,NA,0
PSERDm_SC,NA,NA,NA,NA,0
PTPATim,NA,NA,NA,NA,0
TRDRm,NA,NA,NA,NA,0
TMDPK,NA,NA,NA,NA,0
TMDPPK,NA,NA,NA,NA,0
C22STDS,NA,NA,NA,NA,0
C22STDSx,NA,NA,NA,NA,0
2HP6MPMOm,NA,NA,NA,NA,3
ACACT1m,NA,NA,NA,NA,0
ACOATAm,NA,NA,NA,NA,0
COUCOAFm,NA,NA,NA,NA,0
CSNATm,NA,NA,NA,NA,0
DHAD1m,NA,NA,NA,NA,0
DHAD2m,NA,NA,NA,NA,0
DHPSm,NA,NA,NA,NA,0
HEMEOMOm,NA,NA,NA,NA,0
MCOATAm,NA,NA,NA,NA,0
PPPGOm,NA,NA,NA,NA,1
T4HCINNMFM,NA,NA,NA,NA,0
ACSm,NA,NA,NA,NA,0
AKGDbm,NA,NA,NA,NA,0
HBZOPT6m,NA,NA,NA,NA,0
OBDHm,NA,NA,NA,NA,0
PDHm,NA,NA,NA,NA,0
EHGLATm,NA,NA,NA,NA,0
GLYCLm,NA,NA,NA,NA,0
ICDHxm,NA,NA,NA,NA,0
ME1m,NA,NA,NA,NA,0
MTHFDm,NA,NA,NA,NA,0
ACONTm,NA,NA,NA,NA,0
ASPTAm,NA,NA,NA,NA,0
PUNP1m,NA,NA,NA,NA,0
PUNP3m,NA,NA,NA,NA,0
ALATA_Lm,NA,NA,NA,NA,0
ME2m,NA,NA,NA,NA,0
FTHFLmi,NA,NA,NA,NA,0
GCC2bim,NA,NA,NA,NA,0
GCCbim,NA,NA,NA,NA,0
ACOTAim,NA,NA,NA,NA,0
ICDHym,NA,NA,NA,NA,0
ILETAm,NA,NA,NA,NA,0
LEUTAm,NA,NA,NA,NA,0
TYRTAim,NA,NA,NA,NA,0
3HPH5MBDCm,NA,NA,NA,NA,4
VALTAim,NA,NA,NA,NA,0
ACONT3m,NA,NA,NA,NA,1
FTHFCLm,NA,NA,NA,NA,0
THRD_Lm,NA,NA,NA,NA,0
GLUTRSm,NA,NA,NA,NA,0
ORNTACim,NA,NA,NA,NA,0
ARGTRSm,NA,NA,NA,NA,0
ASNTRSm,NA,NA,NA,NA,0
ASPTRSm,NA,NA,NA,NA,0
FOLD3m,NA,NA,NA,NA,0
HISTRSm,NA,NA,NA,NA,0
ILETRSm,NA,NA,NA,NA,0
LEUTRSm,NA,NA,NA,NA,0
LYSTRSm,NA,NA,NA,NA,0
METTRSm,NA,NA,NA,NA,0
PHETRSm,NA,NA,NA,NA,0
PPTTm,NA,NA,NA,NA,0
THRTRSm,NA,NA,NA,NA,0
TRPTRSm,NA,NA,NA,NA,0
TYRTRSm,NA,NA,NA,NA,0
VALTRSm,NA,NA,NA,NA,0
ACGKm,NA,NA,NA,NA,0
ADK3m,NA,NA,NA,NA,0
ADK4m,NA,NA,NA,NA,0
C3STDH1,NA,NA,NA,NA,4
C4STMO1,NA,NA,NA,NA,5
CERS124er,NA,NA,NA,NA,0
CERS126er,NA,NA,NA,NA,0
CERS224er,NA,NA,NA,NA,0
CERS226er,NA,NA,NA,NA,0
G6PDH2er,NA,NA,NA,NA,0
SBPP1er,NA,NA,NA,NA,0
SBPP2er,NA,NA,NA,NA,0
