reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
LAAL30,0,NA,NA,NA,NA
LAAL39,0,NA,NA,NA,NA
LAAL40,0,NA,NA,NA,NA
LAAL5,0,NA,NA,NA,NA
LAAL6,0,NA,NA,NA,NA
LAAL7,0,NA,NA,NA,NA
UAMAS,0,0,0,0,NA
ADPDA,0,NA,NA,NA,NA
APATi,0,NA,NA,NA,NA
FOLR2,0,NA,0,NA,NA
FOLD3,0,NA,NA,NA,NA
G5SD,0,0,2,0,0
UAMAGS,0,0,0,0,NA
GLUTRR,9,6,5,6,NA
HISTP,6,2,2,7,2
IGPDH_1,0,NA,NA,NA,NA
DHAD2,0,0,0,0,NA
LAAL18,0,NA,NA,NA,NA
LAAL13,0,NA,NA,NA,NA
LAAL14,0,NA,NA,NA,NA
LAAL16,0,NA,NA,NA,NA
OMCDC,0,0,0,0,0
ARGN_1,0,NA,NA,NA,NA
LAAL24,0,NA,NA,NA,NA
LAAL26,0,NA,NA,NA,NA
LAAL27,0,NA,NA,NA,NA
PPNDH,0,0,0,0,0
GARFT,0,0,0,0,0
PGCD,0,0,0,0,0
LAAL29,0,NA,NA,NA,NA
LAAL31,0,NA,NA,NA,NA
PPND,0,0,0,0,0
DHAD1,0,0,0,0,NA
IPPS,0,0,0,0,0
LAAL12,0,NA,NA,NA,NA
MOHMT,1,1,1,1,1
FMETTRS_1,0,NA,NA,NA,NA
FTHFD,0,0,NA,0,NA
PRMICI,0,0,0,0,0
ACKr,0,0,0,0,NA
AGDC,0,0,NA,0,NA
AHSERL3,0,NA,NA,NA,NA
APSR,0,NA,1,NA,NA
FDMO_1,0,NA,NA,NA,NA
FDMO2_1,1,NA,NA,NA,NA
FDMO3_1,1,NA,NA,NA,NA
FDMO4_1,1,NA,NA,NA,NA
FDMO5_1,0,NA,NA,NA,NA
FDMO6_1,0,NA,NA,NA,NA
HEMECS,0,NA,NA,NA,NA
LAAL9,0,NA,NA,NA,NA
PAPSR,0,0,NA,0,1
SHSL1,0,1,NA,0,0
